,,,,,Road,,,,Tower,,TimeZone,,,,,,,Mobile Count
5-Elvitigala,79.877082-6.909195-80,14:30:00#15:00:00,1008,,0,1,0,,0,,1,0,0,0,1,,0.248241206,0.248241206
5-Elvitigala,79.877082-6.909195-80,15:00:00#15:30:00,953,,0,1,0,,0,,1,0,0,1,0,,0.234422111,0.234422111
5-Elvitigala,79.877082-6.909195-80,15:30:00#16:00:00,640,,0,1,0,,0,,1,0,0,1,1,,0.155778894,0.155778894
3-Ward-Place,79.877032-6.915083-210,06:00:00#06:30:00,96,,0,1,1,,0,,0,0,0,0,0,,0.019095477,0.019095477
3-Ward-Place,79.877032-6.915083-210,06:30:00#07:00:00,256,,0,1,1,,0,,0,0,0,0,1,,0.059296482,0.059296482
3-Ward-Place,79.877032-6.915083-210,07:00:00#07:30:00,572,,0,1,1,,0,,0,0,0,1,0,,0.138693467,0.138693467
3-Ward-Place,79.877032-6.915083-210,07:30:00#08:00:00,756,,0,1,1,,0,,0,0,0,1,1,,0.184924623,0.184924623
3-Ward-Place,79.877032-6.915083-210,08:00:00#08:30:00,828,,0,1,1,,0,,0,0,1,0,0,,0.203015075,0.203015075
3-Ward-Place,79.877032-6.915083-210,08:30:00#09:00:00,887,,0,1,1,,0,,0,0,1,0,1,,0.217839196,0.217839196
3-Ward-Place,79.877032-6.915083-210,09:00:00#09:30:00,845,,0,1,1,,0,,0,0,1,1,0,,0.207286432,0.207286432
3-Ward-Place,79.877032-6.915083-210,09:30:00#10:00:00,915,,0,1,1,,0,,0,0,1,1,1,,0.224874372,0.224874372
3-Ward-Place,79.877032-6.915083-210,10:00:00#10:30:00,1524,,0,1,1,,0,,0,1,0,0,0,,0.377889447,0.377889447
3-Ward-Place,79.877032-6.915083-210,10:30:00#11:00:00,1657,,0,1,1,,0,,0,1,0,0,1,,0.411306533,0.411306533
3-Ward-Place,79.877032-6.915083-210,11:00:00#11:30:00,1734,,0,1,1,,0,,0,1,0,1,0,,0.430653266,0.430653266
3-Ward-Place,79.877032-6.915083-210,11:30:00#12:00:00,1750,,0,1,1,,0,,0,1,0,1,1,,0.434673367,0.434673367
3-Ward-Place,79.877032-6.915083-210,12:00:00#12:30:00,1816,,0,1,1,,0,,0,1,1,0,0,,0.451256281,0.451256281
3-Ward-Place,79.877032-6.915083-210,12:30:00#13:00:00,1739,,0,1,1,,0,,0,1,1,0,1,,0.431909548,0.431909548
3-Ward-Place,79.877032-6.915083-210,13:00:00#13:30:00,1915,,0,1,1,,0,,0,1,1,1,0,,0.476130653,0.476130653
3-Ward-Place,79.877032-6.915083-210,13:30:00#14:00:00,1548,,0,1,1,,0,,0,1,1,1,1,,0.383919598,0.383919598
3-Ward-Place,79.877032-6.915083-210,14:00:00#14:30:00,1287,,0,1,1,,0,,1,0,0,0,0,,0.318341709,0.318341709
3-Ward-Place,79.877032-6.915083-210,14:30:00#15:00:00,469,,0,1,1,,0,,1,0,0,0,1,,0.11281407,0.11281407
3-Ward-Place,79.877032-6.915083-210,15:00:00#15:30:00,368,,0,1,1,,0,,1,0,0,1,0,,0.087437186,0.087437186
3-Ward-Place,79.877032-6.915083-210,15:30:00#16:00:00,283,,0,1,1,,0,,1,0,0,1,1,,0.066080402,0.066080402
1-Danister-De-Silva,79.8775-6.91679-85,06:00:00#06:30:00,51,,1,0,0,,0,,0,0,0,0,0,,0.007788945,0.007788945
1-Danister-De-Silva,79.8775-6.91679-85,06:30:00#07:00:00,131,,1,0,0,,0,,0,0,0,0,1,,0.027889447,0.027889447
1-Danister-De-Silva,79.8775-6.91679-85,07:00:00#07:30:00,226,,1,0,0,,0,,0,0,0,1,0,,0.051758794,0.051758794
1-Danister-De-Silva,79.8775-6.91679-85,07:30:00#08:00:00,312,,1,0,0,,0,,0,0,0,1,1,,0.073366834,0.073366834
1-Danister-De-Silva,79.8775-6.91679-85,08:00:00#08:30:00,320,,1,0,0,,0,,0,0,1,0,0,,0.075376884,0.075376884
1-Danister-De-Silva,79.8775-6.91679-85,08:30:00#09:00:00,536,,1,0,0,,0,,0,0,1,0,1,,0.129648241,0.129648241
1-Danister-De-Silva,79.8775-6.91679-85,09:00:00#09:30:00,509,,1,0,0,,0,,0,0,1,1,0,,0.122864322,0.122864322
1-Danister-De-Silva,79.8775-6.91679-85,09:30:00#10:00:00,458,,1,0,0,,0,,0,0,1,1,1,,0.110050251,0.110050251
1-Danister-De-Silva,79.8775-6.91679-85,10:00:00#10:30:00,464,,1,0,0,,0,,0,1,0,0,0,,0.111557789,0.111557789
1-Danister-De-Silva,79.8775-6.91679-85,10:30:00#11:00:00,433,,1,0,0,,0,,0,1,0,0,1,,0.103768844,0.103768844
1-Danister-De-Silva,79.8775-6.91679-85,11:00:00#11:30:00,394,,1,0,0,,0,,0,1,0,1,0,,0.093969849,0.093969849
1-Danister-De-Silva,79.8775-6.91679-85,11:30:00#12:00:00,468,,1,0,0,,0,,0,1,0,1,1,,0.112562814,0.112562814
1-Danister-De-Silva,79.8775-6.91679-85,12:00:00#12:30:00,473,,1,0,0,,0,,0,1,1,0,0,,0.113819095,0.113819095
1-Danister-De-Silva,79.8775-6.91679-85,12:30:00#13:00:00,430,,1,0,0,,0,,0,1,1,0,1,,0.103015075,0.103015075
1-Danister-De-Silva,79.8775-6.91679-85,13:00:00#13:30:00,421,,1,0,0,,0,,0,1,1,1,0,,0.100753769,0.100753769
1-Danister-De-Silva,79.8775-6.91679-85,13:30:00#14:00:00,424,,1,0,0,,0,,0,1,1,1,1,,0.101507538,0.101507538
1-Danister-De-Silva,79.8775-6.91679-85,14:00:00#14:30:00,342,,1,0,0,,0,,1,0,0,0,0,,0.080904523,0.080904523
1-Danister-De-Silva,79.8775-6.91679-85,14:30:00#15:00:00,316,,1,0,0,,0,,1,0,0,0,1,,0.074371859,0.074371859
1-Danister-De-Silva,79.8775-6.91679-85,15:00:00#15:30:00,244,,1,0,0,,0,,1,0,0,1,0,,0.056281407,0.056281407
1-Danister-De-Silva,79.8775-6.91679-85,15:30:00#16:00:00,185,,1,0,0,,0,,1,0,0,1,1,,0.041457286,0.041457286
