,,,,,Road,,,,Tower,,TimeZone,,,,,,,,CCTV,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:00:00#15:30:00,246,,0,0,1,,0,,1,0,0,1,0,,0.05678392,,2,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:30:00#16:00:00,193,,0,0,1,,0,,1,0,0,1,1,,0.043467337,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:00:00#06:30:00,114,,0,0,1,,1,,0,0,0,0,0,,0.02361809,,1,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:30:00#07:00:00,455,,0,0,1,,1,,0,0,0,0,1,,0.109296482,,1,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:00:00#07:30:00,829,,0,0,1,,1,,0,0,0,1,0,,0.203266332,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:30:00#08:00:00,895,,0,0,1,,1,,0,0,0,1,1,,0.219849246,,4,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:00:00#08:30:00,1592,,0,0,1,,1,,0,0,1,0,0,,0.394974874,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:30:00#09:00:00,1822,,0,0,1,,1,,0,0,1,0,1,,0.452763819,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:00:00#09:30:00,1789,,0,0,1,,1,,0,0,1,1,0,,0.444472362,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:30:00#10:00:00,1844,,0,0,1,,1,,0,0,1,1,1,,0.458291457,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:00:00#10:30:00,1904,,0,0,1,,1,,0,1,0,0,0,,0.473366834,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:30:00#11:00:00,1485,,0,0,1,,1,,0,1,0,0,1,,0.368090452,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:00:00#11:30:00,1596,,0,0,1,,1,,0,1,0,1,0,,0.395979899,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:30:00#12:00:00,1621,,0,0,1,,1,,0,1,0,1,1,,0.402261307,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:00:00#12:30:00,1619,,0,0,1,,1,,0,1,1,0,0,,0.401758794,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:30:00#13:00:00,1704,,0,0,1,,1,,0,1,1,0,1,,0.423115578,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:00:00#13:30:00,1667,,0,0,1,,1,,0,1,1,1,0,,0.413819095,,3,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:30:00#14:00:00,1608,,0,0,1,,1,,0,1,1,1,1,,0.398994975,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:00:00#14:30:00,1472,,0,0,1,,1,,1,0,0,0,0,,0.364824121,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:30:00#15:00:00,1367,,0,0,1,,1,,1,0,0,0,1,,0.338442211,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:00:00#15:30:00,1194,,0,0,1,,1,,1,0,0,1,0,,0.294974874,,2,
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:30:00#16:00:00,832,,0,0,1,,1,,1,0,0,1,1,,0.204020101,,2,
5-Elvitigala,79.877082-6.909195-80,06:00:00#06:30:00,51,,0,1,0,,0,,0,0,0,0,0,,0.007788945,,1,
5-Elvitigala,79.877082-6.909195-80,06:30:00#07:00:00,121,,0,1,0,,0,,0,0,0,0,1,,0.025376884,,1,
5-Elvitigala,79.877082-6.909195-80,07:00:00#07:30:00,262,,0,1,0,,0,,0,0,0,1,0,,0.06080402,,2,
5-Elvitigala,79.877082-6.909195-80,07:30:00#08:00:00,513,,0,1,0,,0,,0,0,0,1,1,,0.123869347,,3,
5-Elvitigala,79.877082-6.909195-80,08:00:00#08:30:00,671,,0,1,0,,0,,0,0,1,0,0,,0.163567839,,3,
5-Elvitigala,79.877082-6.909195-80,08:30:00#09:00:00,620,,0,1,0,,0,,0,0,1,0,1,,0.150753769,,2,
5-Elvitigala,79.877082-6.909195-80,09:00:00#09:30:00,673,,0,1,0,,0,,0,0,1,1,0,,0.164070352,,2,
5-Elvitigala,79.877082-6.909195-80,09:30:00#10:00:00,726,,0,1,0,,0,,0,0,1,1,1,,0.177386935,,2,
5-Elvitigala,79.877082-6.909195-80,10:00:00#10:30:00,821,,0,1,0,,0,,0,1,0,0,0,,0.201256281,,1,
5-Elvitigala,79.877082-6.909195-80,10:30:00#11:00:00,788,,0,1,0,,0,,0,1,0,0,1,,0.192964824,,2,
